,src_bytes,service,diff_srv_rate,flag,dst_bytes,dst_host_diff_srv_rate,count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate,label
0,491,ftp_data,0.0,SF,0,0.03,2,25,0.17,0.0,normal
1,146,other,0.15,SF,0,0.6,13,1,0.0,0.0,normal
2,0,private,0.07,S0,0,0.05,123,26,0.1,1.0,dos
3,232,http,0.0,SF,8153,0.0,5,255,1.0,0.03,normal
4,199,http,0.0,SF,420,0.0,30,255,1.0,0.0,normal
5,0,private,0.06,REJ,0,0.07,121,19,0.07,0.0,dos
6,0,private,0.06,S0,0,0.05,166,9,0.04,1.0,dos
7,0,private,0.06,S0,0,0.07,117,15,0.06,1.0,dos
8,0,remote_job,0.05,S0,0,0.05,270,23,0.09,1.0,dos
9,0,private,0.06,S0,0,0.06,133,13,0.05,1.0,dos
10,0,private,0.06,REJ,0,0.07,205,12,0.05,0.0,dos
11,0,private,0.06,S0,0,0.07,199,13,0.05,1.0,dos
12,287,http,0.0,SF,2251,0.0,3,219,1.0,0.0,normal
13,334,ftp_data,0.0,SF,0,0.0,2,20,1.0,0.0,r2l
14,0,name,0.06,S0,0,0.07,233,1,0.0,1.0,dos
15,0,netbios_ns,0.05,S0,0,0.06,96,2,0.01,1.0,dos
16,300,http,0.0,SF,13788,0.0,8,255,1.0,0.0,normal
17,18,eco_i,0.0,SF,0,0.0,1,16,1.0,0.0,probe
18,233,http,0.0,SF,616,0.0,3,255,1.0,0.0,normal
19,343,http,0.0,SF,1178,0.0,9,255,1.0,0.0,normal
20,0,mtp,0.05,S0,0,0.05,223,23,0.09,1.0,dos
21,0,private,0.05,S0,0,0.06,280,17,0.07,0.99,dos
22,253,http,0.0,SF,11905,0.0,8,255,1.0,0.0,normal
23,147,other,0.0,SF,105,0.85,1,1,0.0,0.0,normal
24,0,mtp,0.06,S0,0,0.06,248,2,0.01,1.0,dos
25,437,telnet,0.0,SF,14421,0.05,1,25,0.1,0.53,normal
26,0,private,0.06,S0,0,0.07,279,13,0.05,1.0,dos
27,227,http,0.0,SF,6588,0.0,5,255,1.0,0.0,normal
28,215,http,0.0,SF,10499,0.0,14,255,1.0,0.0,normal
29,241,http,0.0,SF,1400,0.0,33,255,1.0,0.0,normal
30,8,eco_i,0.0,SF,0,0.0,1,53,1.0,0.0,probe
31,0,finger,0.07,S0,0,0.04,57,59,0.23,1.0,dos
